Путь к файлу	Вступительное слово		
/index.html	Привет, меня зовут Игорь. В 41 год я узнал, что мое мышление нейроотлично — СДВГ и черты РАС стали для меня не диагнозом, а ключом к пониманию себя. Этот сайт — живая карта моего опыта, знаний и практик, которыми я делюсь искренне и по-настоящему.		
/здоровье/index.html	Здоровье для меня — это не «норма», а настройка системы под себя. Здесь я делюсь практиками, которые помогают мне жить энергично, несмотря на СДВГ, чувствительность и перегрузки.		
/здоровье/медитации/index.html	Медитации — мой способ наводить порядок в голове. Без эзотерики и насилия над собой. Простые практики для живого, беспокойного ума.		
/здоровье/закаливание/index.html	Закаливание стало для меня якорем в реальности. Через тело — к устойчивости психики и ясности мышления.		
/здоровье/йога/index.html	Йога в моем понимании — это мягкое возвращение в тело. Особенно важно, когда ум постоянно уходит в сотни направлений.		
/личный-бренд/index.html	Личный бренд — это не маска, а честное проявление себя. Здесь я рассказываю, как превратить свою уникальность в ценность.		
/вебинар/index.html	Этот вебинар — концентрат моего опыта. Я рассказываю, как людям с нестандартным мышлением создавать сайты и бренды, которые работают без выгорания.		
/музыка/	Музыка сопровождает меня с подросткового возраста. Это способ выразить эмоции, состояние и настроение, которые не всегда получается передать словами. Здесь - часть моего музыкального пути.		
/музыка/песни/	Здесь собраны песни, которые я исполняю - как авторские, так и каверы. Музыка для меня - это живой контакт и честное звучание, без лишней обработки и масок.		
/услуги-продвижения/	Уже много лет я занимаюсь продвижением проектов, сайтов и личных брендов. Мне важно, чтобы продвижение было понятным, прозрачным и работало на реальную пользу, а не на пустые показатели.		
/услуги-продвижения/ии-ассистент/	Здесь я рассказываю про использование ИИ-ассистентов в работе и бизнесе. Как упростить рутину, сэкономить время и снизить нагрузку на внимание, не усложняя процессы.		
/услуги-продвижения/заказать-сайт/	Я создаю сайты в чистом HTML - лёгкие, быстрые и понятные. Без лишних конструкторов и перегруза. Такие сайты хорошо индексируются и удобно воспринимаются людьми.		
/услуги-продвижения/автопостинг-вк/	Чтобы страницы и сообщества регулярно наполнялись контентом, я использую автоматизированные решения. Это помогает сохранять активность без постоянного ручного контроля.		
/услуги-продвижения/рся/	Контекстная реклама и РСЯ - это инструмент, который при грамотной настройке может приводить целевую аудиторию без слива бюджета. Здесь я делюсь своим подходом и опытом работы с этим каналом.		
